text,label
delighted to see you today,happiness
feeling joyful this morning,happiness
what a wonderful surprise,happiness
happy about the good news,happiness
love spending time with friends,happiness
excited for our celebration,happiness
this makes me smile,happiness
enjoyed a beautiful afternoon,happiness
thrilled about my new job,happiness
grateful for your kindness,happiness
such a lovely experience,happiness
glad everything worked out,happiness
feeling lonely this evening,sadness
missing someone very dear,sadness
this loss makes me cry,sadness
heartbroken after the goodbye,sadness
sad about the bad news,sadness
tears keep falling today,sadness
feeling empty without friends,sadness
disappointed by the ending,sadness
a gloomy lonely morning,sadness
wish you were still here,sadness
grieving our lost time,sadness
sorrow fills this day,sadness
furious about this mistake,anger
so angry at the delay,anger
outraged by unfair treatment,anger
this is incredibly frustrating,anger
annoyed with repeated excuses,anger
stop wasting my time,anger
irritated by that behavior,anger
resent this rude response,anger
fed up with the noise,anger
unacceptable and infuriating service,anger
cannot tolerate these lies,anger
angry about broken promises,anger
